2a06:a005:780::/48,KG,KG-O,Osh,
2a06:a005:781::/48,KZ,KZ-BAY,Bayqongyr,
2a06:a005:782::/48,UA,UA-43,Yalta,
2a06:a005:783::/48,RU,RU-DA,Mahachkala,
2a06:a005:784::/48,RU,RU-KLU,Nedelnoe,249073
2a06:a005:786::/48,RU,RU-SVE,Berezovskiy,623700
2a06:a005:787::/48,RU,RU-MOW,Moscow,123181
2a06:a005:788::/48,RU,RU-SPE,Saint Petersburg,
2a06:a005:789::/48,RU,RU-YEV,Birobijan,
2a06:a005:78a::/48,IN,IN-HR,Gurgaon,
2a06:a005:78b::/48,US,US-NY,New York,
2a06:a005:78c::/48,IL,IL-TA,Tel Aviv,
2a06:a005:78d::/48,EG,EG-C,Cairo,
2a06:a005:78e::/48,AR,AR-B,Buenos Aires,
2a06:a005:78f::/48,NL,NL-NH,Amsterdam,
